ROW_ID,SUBJECT_ID,GENDER,DOB,DOD,DOD_HOSP,DOD_SSN,EXPIRE_FLAG,GENDER_CODE
6625952,80542,F,2174-04-23,2152-08-04,2151-11-09,,0,0
8371263,54433,M,2040-04-17,2141-09-11,,280-09-4330,1,1
2076715,22803,F,2095-01-20,,,,1,0
10976487,33826,F,2071-02-25,,,,0,0
5223035,51522,F,2092-03-18,,,,0,0
11260688,92260,M,2025-01-09,,2151-11-20,750-53-2037,0,1
3611567,41734,M,2091-04-23,,,,0,1
15873994,23812,M,2093-08-27,,,,0,1
8714839,22713,M,2027-10-03,,,,0,1
9752708,48647,F,2130-09-11,2118-12-03,,,1,0
6209234,59457,F,2099-04-29,,,,1,0
6894631,8029,M,2124-03-24,,,433-64-6835,0,1
9565787,30458,F,2047-10-06,,,,0,0
16323410,28303,F,2115-11-01,2152-08-19,,,0,0
5320494,50005,F,2027-10-31,,,221-03-8353,1,0
16304278,25268,M,2191-11-30,,,,0,1
13553753,17164,M,2043-01-26,2152-07-23,,,0,1
6399922,97449,F,2041-03-04,,2151-11-27,,0,0
12852695,30749,F,1805-10-24,,,,1,0
10378007,101032,M,2101-10-17,2180-03-02,2151-11-20,,0,1
10078987,21503,M,2096-01-07,2160-01-18,,608-58-2906,1,0
16122906,12750,F,1893-05-28,,2151-11-16,,0,0
16492983,3154,F,2109-05-05,,,732-54-7716,0,0
2815993,8422,M,2082-12-31,2206-01-18,,584-81-0394,1,1
12395103,95974,M,2062-04-01,2152-02-24,,141-64-5690,1,1
13830439,10461,M,2111-01-29,,2151-10-26,769-47-9935,0,1
14235739,48356,F,2076-06-05,,,,1,0
4174133,78050,F,2125-10-29,2152-07-24,,009-47-3625,0,0
15243680,22888,M,2157-06-30,,2151-11-23,,0,1
11372742,24384,M,2125-10-30,2152-07-21,,,0,1
14661473,28587,F,2048-02-15,2152-08-24,,359-68-8212,0,0
7645843,21636,F,2058-04-17,,,551-31-9238,0,0
13230078,10091,F,2118-02-03,,2151-12-13,888-02-3334,0,0
14292766,21538,M,2087-02-12,2152-07-27,,,0,1
15908643,28688,F,2092-11-29,2184-04-03,,,1,0
3296756,7562,M,2078-12-26,,,683-52-0169,0,1
8413689,62290,M,2110-08-27,,,,0,1
5671995,22394,M,2090-01-19,,,,0,1
9828436,13437,F,2107-10-20,,,,0,0
5542682,21590,F,2102-03-25,,2151-11-30,,0,0
884463,15016,F,2122-07-09,2121-07-25,2145-08-21,,1,0
7016593,64559,M,2077-04-05,,2151-11-25,,0,1
1663963,23333,M,2160-05-31,,,515-22-4872,0,1
10748344,18794,F,2155-10-15,2152-08-03,2151-11-21,,0,0
16200793,30592,M,2117-10-30,,2151-11-14,,0,1
11786241,86130,M,2142-08-21,,2151-11-26,,0,1
2608047,94567,M,2099-12-07,,,,0,1
11508712,22801,M,2189-06-08,2152-08-08,2151-11-13,319-66-8786,0,1
14148594,12825,F,2143-06-28,,,,0,0
772482,16978,F,2085-11-16,,2183-02-01,,1,0
8033117,11563,M,2085-11-24,,2151-12-11,411-27-1140,0,1
15730620,19145,M,2028-06-15,,,,0,1
11685022,28185,M,2130-08-14,,,,0,1
11620775,16457,F,2107-04-28,2152-06-30,2151-12-08,663-59-6198,0,0
14560392,45827,M,2193-06-25,,,,0,1
6051477,23042,M,2066-10-28,2152-08-19,2151-11-06,,0,1
12442581,41299,F,2046-11-30,,,,0,0
15553216,25069,M,2088-10-28,2152-08-03,,,0,1
1753586,21700,M,2113-11-02,2152-08-20,,259-28-7920,0,1
1784489,80429,F,2112-05-09,,,650-08-6578,0,0
1651537,14476,F,2073-04-28,,2181-06-23,,1,0
14690157,63392,M,2113-10-04,2152-06-21,2151-11-22,,0,1
9157859,30405,M,2141-06-29,,,,0,1
16112208,16481,F,2164-02-02,2152-08-05,,,0,0
16247651,30996,F,1838-10-16,,,,1,0
16618213,92292,F,2079-12-29,,2146-12-13,667-42-5188,1,0
14109246,24453,F,2117-10-26,,,,0,0
14313225,32045,F,2111-07-26,,2151-12-03,,0,0
5401961,96239,F,2126-02-17,2152-07-26,,,0,0
15376447,28330,F,2114-06-20,,,,1,0
6103638,74198,M,2106-02-12,,2151-11-13,,0,1
889614,65822,F,2072-04-23,,,,1,0
12976394,78472,F,2084-04-18,,,,0,0
14994972,77304,M,2046-11-22,,,,1,1
3319508,4991,M,2107-10-21,2189-03-28,2151-11-10,,1,1
3345417,32294,F,2167-01-09,2152-08-14,,561-55-0130,0,0
11491764,27995,M,2083-01-01,,,,0,1
2059981,10207,F,2054-05-10,2108-06-17,,544-43-2656,1,0
5413087,21351,M,2086-12-11,2173-08-16,,,1,1
16688143,20332,M,2075-04-02,,,692-71-0549,0,1
5127250,8092,F,1875-09-15,,,,1,0
15262172,76722,M,2107-02-16,2152-07-30,2151-11-04,073-51-7565,1,1
5461408,76269,M,2121-07-23,,,,0,1
10225569,75158,F,2103-02-19,2152-08-19,2151-11-19,,0,0
10794071,6591,F,2060-03-16,,,,1,0
10496778,30209,F,2029-12-09,2152-07-04,,,0,0
15764298,11266,M,2102-08-05,,,,1,1
5076072,24381,F,2070-01-01,,,,0,0
12021257,66122,M,2156-08-26,,2151-11-20,,0,1
808635,28199,F,2120-02-10,,,,1,0
9017757,29274,M,2067-10-13,,,498-51-5654,0,1
11902894,26999,M,2098-02-12,,,,0,1
9501774,66759,M,2061-06-28,,,,0,1
791929,9420,M,2090-12-17,,,,0,1
10230942,14708,F,2107-07-10,,2144-12-05,805-95-0772,1,0
9102458,77980,M,2105-05-06,,,,0,1
8931899,71352,M,2117-01-25,2152-07-15,2151-11-16,,0,1
9654597,101763,M,2135-07-22,,,045-54-9887,0,1
11930258,53513,F,2096-04-08,,,,1,0
5711574,31711,F,2032-05-17,,,119-65-8516,0,0
5793316,60686,F,2132-10-11,2152-08-13,,,0,0
1094365,8014,F,2038-07-19,2141-11-03,,,1,0
13268970,15324,M,2080-11-29,,,,1,1
4085018,81189,M,2103-08-22,,,,1,1
4435524,90247,M,2117-12-31,,2151-11-02,,0,1
2894559,5879,M,2035-01-26,,,182-35-4178,1,1
5002402,92632,F,2052-11-01,,,,0,0
5345990,18697,F,2029-01-11,,2169-01-30,,1,0
5996154,649,F,1874-10-28,2108-11-27,,,1,0
5240101,10864,M,2093-10-19,,,,0,1
16149722,12940,F,2118-07-08,,2151-11-29,580-53-1435,0,0
13318467,31406,F,2069-04-05,,,,1,0
11492616,60232,F,2045-05-21,,,,1,0
4620348,47391,M,2134-09-10,2180-09-07,2151-11-11,,0,1
16078258,30530,F,2083-02-21,2108-02-17,2160-02-28,,1,0
10797489,81730,F,2122-09-22,,2151-11-24,,0,0
1834924,45612,F,2097-01-18,,,,1,0
12880803,14882,M,2112-01-30,2152-07-16,,395-93-1270,0,1
11730065,29423,M,2159-02-14,2152-08-11,2151-11-18,,0,1
11901394,23213,F,2065-04-02,2152-06-26,,093-22-1037,0,0
4817209,28691,M,2085-07-25,2119-07-16,2165-08-25,,1,1
1434266,64261,F,2090-04-08,,,,1,0
1981927,28314,M,2095-07-19,2152-08-06,,285-91-0944,0,1
2368047,41696,F,2084-09-24,,,,0,0
3966445,13743,F,2086-12-21,,,791-48-9511,0,0
2400848,1771,M,2105-03-26,2152-07-09,,130-01-4396,0,1
1062736,11000,F,2048-05-19,,,,1,0
8979850,4350,F,2088-06-13,,,,1,0
12040193,27668,F,2102-05-28,,,,1,0
3783429,88894,M,2100-11-28,,,,0,1
185218,80767,M,2129-01-15,,,,0,1
4044741,20826,M,2136-02-14,2152-07-19,2151-11-10,,0,1
9984635,72285,F,2059-03-13,,,,0,0
