ROW_ID,SUBJECT_ID,GENDER,DOB,DOD,DOD_HOSP,DOD_SSN,EXPIRE_FLAG,GENDER_CODE
6625952,97670,F,2058-07-09,2115-01-01 00:00:00,UNKNOWN,366-49-9720,1,0
8371263,12828,F,2077-12-15,UNKNOWN,2172-12-27 00:00:00,316-07-3562,0,0
2076715,30361,F,2085-11-23,UNKNOWN,UNKNOWN,086-77-7131,0,1
10976487,3217,F,1966-03-06,UNKNOWN,UNKNOWN,258-61-4398,0,0
5223035,10774,M,2131-01-31,UNKNOWN,UNKNOWN,554-44-5937,1,1
11260688,19743,M,2060-02-27,UNKNOWN,UNKNOWN,646-76-5626,0,0
3611567,22174,F,2112-02-18,UNKNOWN,UNKNOWN,359-58-8096,0,0
15873994,15069,M,2068-12-29,2169-02-26 00:00:00,UNKNOWN,889-60-6733,0,1
8714839,7004,M,2181-10-23,UNKNOWN,UNKNOWN,713-44-3998,0,1
9752708,66766,F,2045-03-08,2128-08-23 00:00:00,2198-01-23 00:00:00,716-49-7286,1,0
6209234,5466,M,2152-04-03,UNKNOWN,UNKNOWN,608-73-9542,0,0
6894631,4969,M,2016-04-22,UNKNOWN,UNKNOWN,326-03-5458,1,0
9565787,14283,M,2104-12-13,UNKNOWN,UNKNOWN,433-84-0986,0,1
16323410,19104,M,2027-02-16,UNKNOWN,UNKNOWN,699-53-0215,0,1
5320494,4488,M,2161-12-01,UNKNOWN,2190-07-10 00:00:00,077-67-3462,0,1
16304278,11518,M,2096-10-25,UNKNOWN,UNKNOWN,751-60-4608,0,1
13553753,45169,F,2059-12-20,2119-06-22 00:00:00,2113-01-24 00:00:00,308-05-0993,0,1
6399922,30065,F,2013-11-16,2200-04-28 00:00:00,2128-10-03 00:00:00,455-76-0379,0,1
12852695,73138,M,2178-01-26,2175-08-15 00:00:00,UNKNOWN,515-78-4846,1,1
10378007,6348,F,2154-12-26,UNKNOWN,UNKNOWN,499-18-9707,0,0
10078987,26185,M,2004-06-23,2185-12-06 00:00:00,UNKNOWN,472-95-4736,1,1
16122906,90008,F,2075-05-18,UNKNOWN,UNKNOWN,165-51-2471,0,1
16492983,2038,F,2093-05-10,UNKNOWN,UNKNOWN,325-64-7950,0,0
2815993,14578,F,1980-09-02,UNKNOWN,2193-12-15 00:00:00,448-74-4849,1,0
12395103,22771,F,1971-09-08,UNKNOWN,UNKNOWN,206-67-4725,0,1
13830439,60508,F,2089-05-13,UNKNOWN,2164-02-26 00:00:00,362-11-7597,1,0
14235739,13061,M,2065-04-01,2175-04-08 00:00:00,UNKNOWN,419-78-3724,1,0
4174133,77007,M,2140-08-28,2143-01-19 00:00:00,UNKNOWN,621-22-9786,0,1
15243680,2285,M,2150-08-02,2181-04-30 00:00:00,UNKNOWN,138-66-3445,1,1
11372742,17591,M,2079-09-09,2116-02-28 00:00:00,UNKNOWN,059-27-1663,1,1
14661473,931,M,2150-02-18,UNKNOWN,UNKNOWN,760-73-1641,0,1
7645843,24331,F,2114-03-27,UNKNOWN,UNKNOWN,854-14-1227,0,0
13230078,985,M,2108-08-15,UNKNOWN,UNKNOWN,585-72-7837,1,0
14292766,57713,M,2171-08-03,2143-10-23 00:00:00,UNKNOWN,655-04-9251,1,1
15908643,21007,M,2139-06-19,UNKNOWN,UNKNOWN,815-96-0749,0,1
3296756,91862,M,2063-03-04,UNKNOWN,UNKNOWN,862-50-5643,0,1
8413689,24642,M,2119-12-02,2120-10-11 00:00:00,2165-05-19 00:00:00,508-23-0645,0,0
5671995,91490,M,2101-11-24,UNKNOWN,UNKNOWN,131-63-1444,0,1
9828436,89265,F,1887-07-18,UNKNOWN,UNKNOWN,659-61-2379,0,0
5542682,11959,M,2077-12-16,2191-01-25 00:00:00,UNKNOWN,773-88-3764,1,1
884463,26840,M,2157-02-25,UNKNOWN,UNKNOWN,867-59-5491,0,1
7016593,10822,M,1987-09-03,2135-12-20 00:00:00,2150-06-11 00:00:00,203-79-1494,1,1
1663963,14005,M,2075-10-10,UNKNOWN,UNKNOWN,117-93-4834,0,0
10748344,18906,F,2021-08-06,UNKNOWN,2186-04-09 00:00:00,357-68-2917,0,0
16200793,41118,M,2066-10-25,UNKNOWN,UNKNOWN,886-07-8480,0,0
11786241,71297,F,2081-06-10,2138-06-07 00:00:00,2144-02-21 00:00:00,833-57-1238,0,0
2608047,3048,M,2092-09-11,2110-02-21 00:00:00,UNKNOWN,421-64-8060,1,1
11508712,21249,M,2114-07-05,UNKNOWN,UNKNOWN,800-98-7602,0,1
14148594,29374,F,2153-08-16,UNKNOWN,UNKNOWN,892-51-4954,0,0
772482,14735,F,2117-05-07,UNKNOWN,UNKNOWN,690-55-9037,0,1
8033117,4976,M,2149-06-30,UNKNOWN,UNKNOWN,390-54-1688,1,1
15730620,27493,F,2114-10-25,UNKNOWN,2123-02-21 00:00:00,143-31-5337,0,0
11685022,29728,M,2065-08-20,2149-09-07 00:00:00,2192-10-04 00:00:00,479-72-4791,0,1
11620775,46471,M,2055-06-24,2177-09-11 00:00:00,UNKNOWN,454-71-0591,0,0
14560392,7013,M,2079-03-22,2140-01-09 00:00:00,UNKNOWN,147-15-8702,1,1
6051477,46335,M,2049-04-14,UNKNOWN,UNKNOWN,556-78-0511,0,1
12442581,29869,M,2077-08-20,2153-01-18 00:00:00,UNKNOWN,735-63-9740,1,1
15553216,740,F,2162-03-25,UNKNOWN,UNKNOWN,786-93-0835,1,1
1753586,30981,F,2127-01-17,UNKNOWN,2173-12-26 00:00:00,839-41-6888,0,1
1784489,29460,M,2130-04-28,UNKNOWN,UNKNOWN,759-06-6362,0,0
1651537,16594,M,2163-02-14,2108-03-09 00:00:00,UNKNOWN,564-83-0095,0,1
14690157,44044,M,2107-09-10,UNKNOWN,UNKNOWN,365-92-6014,0,0
9157859,88304,M,2010-12-13,2188-12-10 00:00:00,UNKNOWN,370-73-3992,1,1
16112208,60570,F,2131-09-06,2130-10-05 00:00:00,UNKNOWN,302-42-2131,1,0
16247651,25937,F,1999-04-04,2164-11-18 00:00:00,2159-06-19 00:00:00,092-19-7132,1,1
16618213,29271,M,2098-07-31,UNKNOWN,UNKNOWN,392-87-3942,0,1
14109246,70285,F,2009-05-27,UNKNOWN,UNKNOWN,850-29-3393,0,1
14313225,9290,M,1999-04-08,UNKNOWN,UNKNOWN,896-18-2961,1,1
5401961,83947,F,2147-10-14,UNKNOWN,UNKNOWN,134-37-7630,0,1
15376447,14269,M,2059-12-17,2160-06-08 00:00:00,UNKNOWN,395-74-6049,0,1
6103638,25644,M,1980-01-16,UNKNOWN,2116-05-08 00:00:00,130-49-3602,1,0
889614,82138,M,2040-11-10,UNKNOWN,UNKNOWN,122-58-2174,1,1
12976394,31506,F,2117-01-19,UNKNOWN,UNKNOWN,462-09-1615,0,1
14994972,66772,M,2134-03-22,UNKNOWN,UNKNOWN,064-19-3526,0,1
